hsa	ptr
ENSG00000131018	ENSPTRG00000018717
ENSG00000183091	ENSPTRG00000012536
ENSG00000054654	ENSPTRG00000006429
ENSG00000188738	ENSPTRG00000039357
ENSG00000164199	ENSPTRG00000017070
ENSG00000124942	ENSPTRG00000003766
ENSG00000143341	ENSPTRG00000001780
ENSG00000167548	ENSPTRG00000004896
ENSG00000112159	ENSPTRG00000018423
ENSG00000042781	ENSPTRG00000001984
ENSG00000127481	ENSPTRG00000000257
ENSG00000196218	ENSPTRG00000010931
ENSG00000081479	ENSPTRG00000012613
ENSG00000138688	ENSPTRG00000016416
ENSG00000198626	ENSPTRG00000002149
ENSG00000196159	ENSPTRG00000024046
ENSG00000055609	ENSPTRG00000019892
ENSG00000055609	ENSPTRG00000051436
ENSG00000198838	ENSPTRG00000006872
ENSG00000103657	ENSPTRG00000007151
ENSG00000115760	ENSPTRG00000011819
ENSG00000186472	ENSPTRG00000019351
ENSG00000173821	ENSPTRG00000009744
ENSG00000168702	ENSPTRG00000012508
ENSG00000179532	ENSPTRG00000003295
ENSG00000005810	ENSPTRG00000005943
ENSG00000159433	ENSPTRG00000006980
ENSG00000039139	ENSPTRG00000016734
ENSG00000151835	ENSPTRG00000005703
ENSG00000165323	ENSPTRG00000004168
ENSG00000083857	ENSPTRG00000016666
ENSG00000197102	ENSPTRG00000006735
ENSG00000124721	ENSPTRG00000018129
ENSG00000178209	ENSPTRG00000020672
ENSG00000007174	ENSPTRG00000008779
ENSG00000084674	ENSPTRG00000011699
ENSG00000183914	ENSPTRG00000008709
ENSG00000123384	ENSPTRG00000005122
ENSG00000048707	ENSPTRG00000000165
ENSG00000086570	ENSPTRG00000017435
ENSG00000205038	ENSPTRG00000030951
ENSG00000151150	ENSPTRG00000002526
ENSG00000179869	ENSPTRG00000019178
ENSG00000187240	ENSPTRG00000004224
ENSG00000114841	ENSPTRG00000014996
ENSG00000197653	ENSPTRG00000005610
ENSG00000138759	ENSPTRG00000016200
ENSG00000115423	ENSPTRG00000012125
ENSG00000158486	ENSPTRG00000007854
ENSG00000253729	ENSPTRG00000020229
ENSG00000170927	ENSPTRG00000018272
ENSG00000132549	ENSPTRG00000020464
ENSG00000118997	ENSPTRG00000012761
ENSG00000118058	ENSPTRG00000004344
ENSG00000173064	ENSPTRG00000029538
ENSG00000164309	ENSPTRG00000023686
ENSG00000116127	ENSPTRG00000012063
ENSG00000164796	ENSPTRG00000020517
ENSG00000145362	ENSPTRG00000016382
ENSG00000165124	ENSPTRG00000021246
ENSG00000196367	ENSPTRG00000019442
ENSG00000107611	ENSPTRG00000002326
ENSG00000143669	ENSPTRG00000002134
ENSG00000127914	ENSPTRG00000019389
ENSG00000140836	ENSPTRG00000008340
ENSG00000164061	ENSPTRG00000014927
ENSG00000129003	ENSPTRG00000007135
ENSG00000189056	ENSPTRG00000019557
ENSG00000157106	ENSPTRG00000007825
ENSG00000091656	ENSPTRG00000020358
ENSG00000065526	ENSPTRG00000000210
ENSG00000163625	ENSPTRG00000016241
ENSG00000053747	ENSPTRG00000009922
ENSG00000139618	ENSPTRG00000005766
ENSG00000152818	ENSPTRG00000018680
ENSG00000038427	ENSPTRG00000017055
ENSG00000163092	ENSPTRG00000012600
ENSG00000115464	ENSPTRG00000011959
ENSG00000144406	ENSPTRG00000012873
ENSG00000153201	ENSPTRG00000012332
ENSG00000196569	ENSPTRG00000018588
ENSG00000166147	ENSPTRG00000007046
ENSG00000080603	ENSPTRG00000008013
ENSG00000197603	ENSPTRG00000023298
ENSG00000101680	ENSPTRG00000009849
ENSG00000148773	ENSPTRG00000003055
ENSG00000150893	ENSPTRG00000005800
ENSG00000197969	ENSPTRG00000021041
ENSG00000163359	ENSPTRG00000013074
ENSG00000107736	ENSPTRG00000002603
ENSG00000009413	ENSPTRG00000018508
ENSG00000111799	ENSPTRG00000018351
ENSG00000106772	ENSPTRG00000021038
ENSG00000105429	ENSPTRG00000011055
ENSG00000173230	ENSPTRG00000015280
ENSG00000104093	ENSPTRG00000007076
ENSG00000171316	ENSPTRG00000020286
ENSG00000135837	ENSPTRG00000001738
ENSG00000114270	ENSPTRG00000014891
ENSG00000008300	ENSPTRG00000014895
